class,count,dst_bytes,protocol_type,service,src_bytes,srv_count
1.0,-0.7202435993613812,-0.6726251769061449,1.0,19.0,1.4152232738611474,-0.3546279437593853
1.0,-0.6243171382313373,-0.6726251769061449,2.0,41.0,-0.11385970011886115,-0.36842736569469675
0.0,0.33494747306910133,-0.6726251769061449,1.0,46.0,-0.7609498862089518,-0.2994302560181395
1.0,-0.6940818372350056,1.8679944222856504,1.0,22.0,0.2673030122355758,-0.31322967795345097
1.0,-0.47606715284854223,0.13232360699620616,1.0,22.0,0.12104290168096626,0.05935471429995799
0.0,0.3175062983181843,-0.6726251769061449,1.0,46.0,-0.7609498862089518,-0.12003777085909076
0.0,0.7099327302138183,-0.6726251769061449,1.0,46.0,-0.7609498862089518,-0.2580319902122052
0.0,0.2826239488163501,-0.6726251769061449,1.0,46.0,-0.7609498862089518,-0.1614360366650251
0.0,1.6168738172615058,-0.6726251769061449,1.0,48.0,-0.7609498862089518,-0.06484008311784499
0.0,0.42215334682368666,-0.6726251769061449,1.0,46.0,-0.7609498862089518,-0.27183141214751666
0.0,1.050035637856701,-0.6726251769061449,1.0,46.0,-0.7609498862089518,-0.21663372440627085
0.0,0.9977121136039498,-0.6726251769061449,1.0,46.0,-0.7609498862089518,-0.34082852182407386
1.0,-0.7115230119859226,1.8679944222856504,1.0,22.0,0.511069863159925,-0.2856308340828281
0.0,-0.7202435993613812,-0.6726251769061449,1.0,19.0,0.719379717586187,-0.3546279437593853
0.0,1.2942120843695402,-0.6726251769061449,1.0,33.0,-0.7609498862089518,-0.36842736569469675
0.0,0.09949161393172094,-0.6726251769061449,1.0,35.0,-0.7609498862089518,-0.1614360366650251
1.0,-0.6679200751086299,1.8679944222856504,1.0,22.0,0.5686874824693167,-0.2580319902122052
0.0,-0.7289641867368397,-0.6726251769061449,0.0,13.0,-0.6811716440882557,-0.36842736569469675
1.0,-0.7115230119859226,0.5079663728173033,1.0,22.0,0.2717351367978367,-0.34082852182407386
1.0,-0.6591994877331715,1.585064507467592,1.0,22.0,0.7592688386465352,-0.24423256827689374
0.0,1.2070062106149548,-0.6726251769061449,1.0,32.0,-0.7609498862089518,-0.06484008311784499
0.0,1.7040796910160911,-0.6726251769061449,1.0,46.0,-0.7609498862089518,-0.14763661472971365
1.0,-0.6679200751086299,1.8679944222856504,1.0,22.0,0.36037762804305457,-0.24423256827689374
1.0,-0.7289641867368397,-0.47138798093055706,2.0,41.0,-0.10942757555660027,-0.36842736569469675
0.0,1.425020895001418,-0.6726251769061449,1.0,32.0,-0.7609498862089518,-0.3546279437593853
1.0,-0.7289641867368397,1.8679944222856504,1.0,57.0,1.175888547499059,-0.36842736569469675
0.0,1.6953591036406326,-0.6726251769061449,1.0,46.0,-0.7609498862089518,-0.2856308340828281
1.0,-0.6940818372350056,1.8679944222856504,1.0,22.0,0.24514238942427133,-0.07863950505315644
1.0,-0.6155965508558787,1.8679944222856504,1.0,22.0,0.19195689467714058,-0.189034880535648
1.0,-0.4499053907221666,1.8679944222856504,1.0,22.0,0.3071921332959238,0.07315413623526944
0.0,-0.7289641867368397,-0.6726251769061449,0.0,13.0,-0.7254928897108647,-0.21663372440627085
0.0,-0.24061129371116186,-0.6726251769061449,1.0,17.0,-0.7609498862089518,-0.1614360366650251
1.0,-0.6591994877331715,0.3910571446791047,1.0,22.0,0.5819838561560993,-0.2580319902122052
0.0,-0.7202435993613812,-0.6726251769061449,1.0,46.0,-0.7609498862089518,-0.36842736569469675
1.0,0.8407415408456963,-0.5863806643451787,2.0,11.0,-0.5615042809072115,2.115468582661363
1.0,-0.7202435993613812,-0.390893102540322,2.0,46.0,-0.2955768071715578,-0.3546279437593853
1.0,0.3262268856936428,-0.5902137537923327,2.0,11.0,-0.5703685300317333,2.4052564433029033
0.0,1.050035637856701,-0.6726251769061449,1.0,55.0,-0.7609498862089518,-0.14763661472971365
1.0,-0.5458318518522105,1.8679944222856504,1.0,22.0,0.6750584719635782,0.004157026558712223
0.0,1.2506091474922474,-0.6726251769061449,1.0,63.0,-0.7609498862089518,-0.20283430247095943
0.0,-0.3016554053393716,-0.6726251769061449,1.0,19.0,-0.7609498862089518,-0.2304331463415823
0.0,1.5471091182578376,-0.6726251769061449,1.0,2.0,-0.7609498862089518,-0.21663372440627085
1.0,-0.7289641867368397,0.040329460264508905,1.0,51.0,2.330456995968022,-0.3546279437593853
1.0,-0.7028024246104642,-0.47138798093055706,2.0,41.0,-0.11385970011886115,-0.3546279437593853
1.0,-0.6417583129822544,1.8679944222856504,1.0,22.0,0.5243662368467077,-0.2304331463415823
0.0,0.20413866243722334,-0.6726251769061449,1.0,6.0,-0.7609498862089518,-0.2304331463415823
0.0,-0.04003778407561559,-0.6726251769061449,2.0,46.0,-0.6368503984656467,0.7217269671949073
1.0,-0.3539789295921228,0.9775198300936747,1.0,22.0,0.3692418771675764,0.2249477775236953
0.0,-0.7202435993613812,-0.6726251769061449,1.0,19.0,0.719379717586187,-0.3546279437593853
0.0,1.5122267687560034,-0.6726251769061449,1.0,19.0,-0.7609498862089518,-0.14763661472971365
1.0,-0.6504789003577129,0.2818140954352142,1.0,22.0,0.5775517315938384,-0.24423256827689374
0.0,-0.20572894420932772,-0.6726251769061449,1.0,46.0,-0.7609498862089518,-0.3270290998887624
0.0,-0.7202435993613812,-0.6726251769061449,2.0,46.0,-0.6368503984656467,-0.3546279437593853
1.0,-0.5109495023503764,1.8679944222856504,1.0,22.0,0.21411751748844507,0.19734893365307243
1.0,0.3087857109427257,-0.54038359097933,2.0,11.0,-0.5703685300317333,1.273703844607365
1.0,-0.10108189570382532,-0.41772472867040034,2.0,11.0,-0.5659364054694724,0.65272985751835
0.0,-0.7289641867368397,-0.6726251769061449,0.0,13.0,-0.7254928897108647,-0.17523545860033654
