service,0
IRC,40
X11,22
Z39_50,172
auth,189
bgp,146
courier,164
csnet_ns,111
ctf,127
daytime,107
discard,105
domain,109
domain_u,1820
echo,65
eco_i,909
ecr_i,613
efs,110
exec,91
finger,366
ftp,345
ftp_data,1396
gopher,109
hostnames,96
http,8003
http_443,113
http_8001,1
imap4,138
iso_tsap,131
klogin,92
kshell,67
ldap,90
link,85
login,79
mtp,90
name,92
netbios_dgm,85
netbios_ns,76
netbios_ssn,67
netstat,78
nnsp,123
nntp,61
ntp_u,32
other,858
pm_dump,3
pop_2,17
pop_3,53
printer,12
private,4351
red_i,3
remote_job,17
rje,20
shell,11
smtp,1449
sql_net,46
ssh,58
sunrpc,67
supdup,114
systat,88
telnet,483
tim_i,2
time,155
urh_i,4
urp_i,124
uucp,157
uucp_path,133
vmnet,107
whois,145
